Ciphertexts,RunningTime,CPUTime,Bytes
54,0.033727778,0.001161111,0.077148438
69,0.04245,0.001672222,0.182617188
79,0.027788889,0.005633333,0.1640625
85,0.025866667,0.000416667,0.109375
135,0.022788889,0.006516667,0.094726563
159,0.037427778,0.000672222,0.2265625
176,0.015894444,0.000327778,0.084960938
193,0.029394444,0.000711111,0.233398438
225,0.034338889,0.015527778,0.34375
239,0.042955556,0.003622222,0.520507813
249,0.033938889,0.000544444,0.157226563
279,0.021922222,0.000638889,0.205078125
293,0.040166667,0.004744444,1.53125
320,0.026744444,0.000494444,0.200195313
376,0.020216667,0.000372222,0.09765625
382,0.019061111,0.000433333,0.116210938
397,0.027644444,0.011138889,0.419921875
399,0.041483333,0.000516667,0.189453125
442,0.035911111,0.002488889,0.84765625
534,0.029233333,0.001433333,0.87890625
582,0.028433333,0.000472222,0.146484375
586,0.041316667,0.000827778,0.356445313
604,0.029922222,0.002911111,2.481445313
611,0.04035,0.000377778,0.112304688
682,0.026977778,0.00055,0.23046875
698,0.032366667,0.001438889,0.819335938
706,0.024327778,0.000494444,0.151367188
791,0.018822222,0.000411111,0.125976563
802,0.029966667,0.000511111,0.161132813
818,0.031661111,0.000877778,0.559570313
843,0.051866667,0.002211111,1.549804688
935,0.038227778,0.001822222,1.282226563
937,0.031405556,0.00075,0.403320313
981,0.036133333,0.000533333,0.174804688
1061,0.019572222,0.000611111,0.239257813
1102,0.024355556,0.000466667,0.147460938
1161,0.028808333,0.000569444,0.192382813
1173,0.034016667,0.000538889,0.189453125
1233,0.032288889,0.000616667,0.26953125
1247,0.029955556,0.000833333,0.48046875
1253,0.037777778,0.001816667,1.603515625
1332,0.028277778,0.000561111,0.19921875
1364,0.019855556,0.000488889,0.166015625
1646,0.032877778,0.0009,0.46875
1700,0.034233333,0.000627778,0.228515625
1828,0.031436111,0.000641667,0.237304688
1848,0.014122222,0.000705556,0.295898438
1950,0.026466667,0.001044444,0.5546875
2191,0.042294444,0.001016667,0.518554688
2203,0.024161111,0.000777778,0.323242188
2207,0.032405556,0.00135,0.97265625
2330,0.025894444,0.000794444,0.333984375
2349,0.027672222,0.000794444,0.361328125
2410,0.029822222,0.001077778,0.672851563
2437,0.04705,0.001027778,0.578125
2679,0.0241,0.000861111,0.389648438
2820,0.033938889,0.000855556,0.373046875
2889,0.041766667,0.001083333,0.588867188
3128,0.051777778,0.001622222,1.060546875
3159,0.019544444,0.000911111,0.422851563
3223,0.0548,0.002138889,1.771484375
3326,0.030733333,0.001177778,0.627929688
3664,0.0345,0.001216667,0.681640625
4019,0.034555556,0.001788889,1.124023438
4211,0.029555556,0.001361111,0.798828125
4449,0.055244444,0.001666667,1.143554688
4528,0.034516667,0.002383333,1.885742188
4559,0.033883333,0.001383333,0.73046875
4608,0.0342,0.002033333,1.387695313
5301,0.033855556,0.001494444,0.823242188
6228,0.033977778,0.001672222,0.912109375
6260,0.042183333,0.00265,2.065429688
6662,0.051572222,0.001755556,0.952148438
6861,0.042161111,0.001711111,0.990234375
6916,0.039677778,0.002277778,1.470703125
7096,0.0429,0.002872222,2.15234375
7187,0.037072222,0.002105556,1.375976563
7263,0.067777778,0.004766667,4.10546875
7395,0.0519,0.002494444,1.706054688
8055,0.032227778,0.001894444,1.08984375
8278,0.04285,0.003938889,3.185546875
8796,0.050627778,0.003127778,2.295898438
8972,0.055722222,0.007616667,7.213867188
10188,0.031122222,0.002261111,1.23046875
10278,0.052727778,0.002605556,1.650390625
10719,0.057616667,0.003788889,2.638671875
10804,0.044677778,0.005461111,4.692382813
11022,0.046394444,0.004188889,3.087890625
11834,0.04085,0.002944444,1.8046875
13369,0.0431,0.004044444,2.802734375
13878,0.039666667,0.003327778,2.001953125
13923,0.048055556,0.00475,3.318359375
17200,0.0624,0.009816667,8.962890625
18113,0.052772222,0.006283333,4.849609375
20845,0.06155,0.006166667,4.248046875
20927,0.053427778,0.006916667,4.711914063
21451,0.068744444,0.010022222,8.3203125
22668,0.053072222,0.006527778,5.018554688
23401,0.060211111,0.008966667,6.767578125
27338,0.059022222,0.009122222,6.12890625
31959,0.061072222,0.010083333,6.564453125
32817,0.06805,0.008783333,6.251953125
34716,0.063416667,0.009683333,6.677734375
35543,0.073027778,0.013661111,11.31347656
37067,0.080183333,0.012594444,9.450195313
37707,0.078383333,0.016411111,13.21679688
38507,0.083633333,0.014644444,12.33007813
41920,0.108983333,0.0203,17.9296875
45745,0.075522222,0.014127778,9.470703125
48702,0.100544444,0.020705556,15.46484375
49446,0.069177778,0.013033333,9.122070313
54147,0.114583333,0.025083333,21.37304688
54254,0.078594444,0.017994444,13.06054688
58180,0.1088,0.026461111,18.84277344
58478,0.083483333,0.015294444,10.29980469
63077,0.109638889,0.026766667,20.34960938
63307,0.082811111,0.015827778,10.70605469
63648,0.09475,0.021727778,15.20605469
67312,0.11325,0.025211111,19.27734375
76832,0.128116667,0.034216667,23.87011719
82658,0.138972222,0.034011111,27.70410156
86116,0.1395,0.0368,26.171875
86383,0.118838889,0.030355556,21.21777344
87553,0.11775,0.029761111,23.20898438
102899,0.186805556,0.051033333,40.69921875
125575,0.167516667,0.044794444,32.84375
130555,0.205194444,0.055838889,40.01855469
149535,0.200305556,0.056838889,43.5078125
161480,0.209538889,0.059883333,41.72070313
173774,0.207983333,0.060777778,45.26660156
179457,0.327377778,0.093077778,70.03027344
188983,0.2516,0.073572222,53.11035156
194231,0.237433333,0.069761111,48.18261719
216066,0.269716667,0.080061111,56.921875
227715,0.407066667,0.125922222,87.59863281
266183,0.355094444,0.106155556,74.95703125
292096,0.536672222,0.160855556,110.7060547
297474,0.381194444,0.117527778,80.29003906
