Ciphertexts,RunningTime,CPUTime,Bytes
54,0.039883333,0.111105556,1.384765625
69,0.046244444,0.105188889,3.467773438
79,0.049205556,0.1759,3.098632813
85,0.050644444,0.102572222,2.034179688
135,0.047211111,0.212961111,1.811523438
159,0.055166667,0.184872222,4.327148438
176,0.046838889,0.164483333,1.697265625
193,0.058166667,0.214594444,4.497070313
225,0.065677778,0.268483333,6.803710938
239,0.069744444,0.319377778,10.31152344
249,0.066061111,0.246061111,3.084960938
279,0.069394444,0.282766667,4.055664063
293,0.118572222,0.51245,30.28710938
320,0.064072222,0.304827778,4.1171875
376,0.053705556,0.325572222,2.20703125
382,0.063122222,0.358088889,2.471679688
397,0.077811111,0.423638889,8.513671875
399,0.068588889,0.380427778,3.943359375
442,0.085922222,0.515838889,16.96679688
534,0.111172222,0.616422222,17.50488281
582,0.083516667,0.525694444,3.3359375
586,0.08755,0.572727778,7.315429688
604,0.252116667,0.918111111,49.20898438
611,0.073777778,0.51885,2.810546875
682,0.088361111,0.626994444,5.084960938
698,0.112444444,0.7218,16.62988281
706,0.0864,0.670855556,3.374023438
791,0.08845,0.671538889,3.28125
802,0.089927778,0.762433333,3.639648438
818,0.110738889,0.769161111,11.80761719
843,0.134994444,0.962594444,31.09277344
935,0.132088889,0.998494444,25.93457031
937,0.114283333,0.882994444,8.69921875
981,0.106055556,0.9159,4.110351563
1061,0.103033333,0.9482,5.680664063
1102,0.107372222,0.933466667,4.08984375
1161,0.114302778,1.086077778,4.606445313
1173,0.136105556,1.027911111,4.877929688
1233,0.118305556,1.089005556,6.514648438
1247,0.136144444,1.120605556,10.72558594
1253,0.179966667,1.315177778,32.80371094
1332,0.134583333,1.167444444,5.286132813
1364,0.13305,1.151766667,4.767578125
1646,0.148911111,1.531244444,10.62109375
1700,0.149194444,1.487988889,6.258789063
1828,0.167436111,1.597483333,6.591796875
1848,0.161461111,1.614166667,7.735351563
1950,0.174283333,1.758333333,12.74316406
2191,0.189,2.026777778,12.09375
2203,0.175327778,1.917938889,8.664388021
2207,0.192516667,1.9934,21.5546875
2330,0.185238889,2.033555556,9.0078125
2349,0.184961111,2.073777778,9.484700521
2410,0.191883333,2.109044444,15.94921875
2437,0.197638889,2.167144444,13.88671875
2679,0.224077778,2.3672,10.36523438
2820,0.2022,2.460605556,10.30371094
2889,0.237138889,2.684405556,14.01269531
3128,0.249677778,2.918133333,23.61425781
3159,0.232755556,2.770511111,11.61132813
3223,0.290233333,3.06875,38.06835938
3326,0.250783333,3.080022222,15.19140625
3664,0.270822222,3.255027778,17.16015625
4019,0.2876,3.727761111,25.60839844
4211,0.293533333,3.619522222,20.62467448
4449,0.318272222,3.919116667,27.44303385
4528,0.363677778,4.241727778,41.57324219
4559,0.337394444,4.168616667,18.47558594
4608,0.3324,4.133794444,32.10546875
5301,0.383438889,4.720805556,21.54785156
6228,0.445177778,5.581294444,24.07714844
6260,0.485305556,5.895811111,46.3671875
6662,0.460266667,5.978361111,25.25195313
6861,0.439172222,5.862927778,27.53417969
6916,0.4689,6.272916667,35.56542969
7096,0.531827778,6.694655556,48.68261719
7187,0.477933333,6.351661111,34.75683594
7263,0.557977778,7.035833333,87.42480469
7395,0.493783333,6.541361111,41.71386719
8055,0.511066667,6.918855556,30.71484375
8278,0.575122222,7.606872222,71.140625
8796,0.612244444,8.203616667,53.21679688
8972,0.790272222,8.930361111,150.7753906
10188,0.614955556,8.676172222,36.20410156
10278,0.673694444,9.14235,43.0764974
10719,0.741683333,10.46982778,59.1311849
10804,0.768016667,10.06552222,103.1442057
11022,0.762866667,10.79695556,68.39388021
11834,0.743783333,10.60212222,47.34570313
13369,0.901561111,12.60640556,66.04003906
13878,0.861738889,12.50017222,52.92773438
13923,0.934038889,13.90215,73.33300781
17200,1.202522222,16.322,193.4033203
18113,1.1875,17.26931667,110.0693359
20845,1.386388889,20.31104444,97.72753906
20927,1.424661111,21.43545,102.3759766
21451,1.542094444,21.61808333,177.6083984
22668,1.501677778,20.65877778,121.5634766
23401,1.594494444,24.41915556,143.1474609
27338,1.825761111,28.3878,131.5820313
31959,2.1561,32.64289444,144.1455078
32817,2.087688889,30.08381667,154.8408203
34716,2.347711111,33.7193,155.3925781
35543,2.400361111,35.26226667,246.6777344
37067,2.391111111,37.18022778,207.6435547
37707,2.700805556,39.57055556,276.8193359
38507,2.524788889,36.54277778,276.2786458
41920,2.9523,41.90225556,383.1884766
45745,3.094672222,46.66217778,208.5566406
48702,3.683816667,57.00578889,298.5341797
49446,3.242822222,46.45977222,221.9140625
54147,3.77975,55.64730556,451.3030599
54254,3.598944444,55.67197778,282.8984375
58180,4.641188889,71.05597222,350.9580078
58478,3.7081,54.89558333,252.2304688
